Timestamp,Interface,Traffic Type,RX_Bytes/s,TX_Bytes/s
2025-06-07 13:22:05,uesimtun0,Browsing,0,0
2025-06-07 13:22:05,uesimtun2,Video,0,0
2025-06-07 13:22:05,uesimtun1,IoT,0,0
2025-06-07 13:22:06,uesimtun0,Browsing,0,0
2025-06-07 13:22:06,uesimtun2,Video,0,0
2025-06-07 13:22:06,uesimtun1,IoT,0,0
2025-06-07 13:22:07,uesimtun0,Browsing,0,0
2025-06-07 13:22:07,uesimtun2,Video,0,0
2025-06-07 13:22:07,uesimtun1,IoT,0,0
2025-06-07 13:22:08,uesimtun0,Browsing,0,0
2025-06-07 13:22:08,uesimtun2,Video,0,0
2025-06-07 13:22:08,uesimtun1,IoT,0,0
2025-06-07 13:22:09,uesimtun0,Browsing,0,0
2025-06-07 13:22:09,uesimtun2,Video,0,0
2025-06-07 13:22:09,uesimtun1,IoT,0,0
2025-06-07 13:22:10,uesimtun0,Browsing,0,0
2025-06-07 13:22:10,uesimtun2,Video,0,0
2025-06-07 13:22:10,uesimtun1,IoT,0,0
2025-06-07 13:22:11,uesimtun0,Browsing,0,0
2025-06-07 13:22:11,uesimtun2,Video,0,0
2025-06-07 13:22:11,uesimtun1,IoT,0,0
2025-06-07 13:22:12,uesimtun0,Browsing,0,0
2025-06-07 13:22:12,uesimtun2,Video,0,0
2025-06-07 13:22:12,uesimtun1,IoT,0,0
2025-06-07 13:22:13,uesimtun0,Browsing,0,0
2025-06-07 13:22:13,uesimtun2,Video,0,0
2025-06-07 13:22:13,uesimtun1,IoT,0,0
2025-06-07 13:22:14,uesimtun0,Browsing,0,0
2025-06-07 13:22:14,uesimtun2,Video,0,0
2025-06-07 13:22:14,uesimtun1,IoT,0,0
2025-06-07 13:22:15,uesimtun0,Browsing,0,0
2025-06-07 13:22:15,uesimtun2,Video,0,0
2025-06-07 13:22:15,uesimtun1,IoT,0,84
2025-06-07 13:22:16,uesimtun0,Browsing,0,0
2025-06-07 13:22:16,uesimtun2,Video,0,0
2025-06-07 13:22:16,uesimtun1,IoT,0,0
2025-06-07 13:22:17,uesimtun0,Browsing,0,60
2025-06-07 13:22:17,uesimtun2,Video,0,0
2025-06-07 13:22:17,uesimtun1,IoT,0,0
2025-06-07 13:22:18,uesimtun0,Browsing,0,60
2025-06-07 13:22:18,uesimtun2,Video,0,0
2025-06-07 13:22:18,uesimtun1,IoT,0,0
2025-06-07 13:22:19,uesimtun0,Browsing,0,60
2025-06-07 13:22:19,uesimtun2,Video,0,0
2025-06-07 13:22:19,uesimtun1,IoT,0,0
2025-06-07 13:22:20,uesimtun0,Browsing,0,60
2025-06-07 13:22:20,uesimtun2,Video,0,0
2025-06-07 13:22:20,uesimtun1,IoT,0,0
